Byte pair, Frequency
(108, 112), -> [32]
(49, 56), -> [94]
(56, 48), -> [8]
(344, 287), -> [5]
(297, 265), -> [85]
(111, 101), -> [28]
(101, 104), -> [10]
(104, 108), -> [12]
(108, 290), -> [16]
(290, 107), -> [2]
(107, 97), -> [5]
(109, 112), -> [34]
(49, 49), -> [90]
(121, 101), -> [48]
(104, 270), -> [37]
(270, 272), -> [13]
(272, 109), -> [3]
(109, 336), -> [4]
(261, 333), -> [3]
(276, 265), -> [2]
(337, 117), -> [24]
(114, 285), -> [8]
(285, 336), -> [5]
(299, 101), -> [34]
(349, 108), -> [15]
(105, 290), -> [15]
(49, 50), -> [92]
(272, 105), -> [10]
(287, 116), -> [42]
(290, 100), -> [66]
(289, 285), -> [2]
(285, 111), -> [22]
(32, 107), -> [15]
(107, 259), -> [9]
(259, 100), -> [14]
(256, 103), -> [5]
(103, 265), -> [5]
(110, 105), -> [47]
(297, 262), -> [21]
(115, 258), -> [5]
(264, 285), -> [15]
(314, 256), -> [3]
(110, 341), -> [1]
(341, 259), -> [1]
(345, 114), -> [11]
(99, 105), -> [47]
(99, 266), -> [3]
(272, 256), -> [33]
(49, 53), -> [75]
(261, 114), -> [36]
(115, 102), -> [9]
(256, 114), -> [12]
(100, 99), -> [2]
(111, 279), -> [2]
(109, 105), -> [21]
(105, 352), -> [25]
(111, 271), -> [3]
(331, 309), -> [3]
(309, 115), -> [44]
(49, 55), -> [85]
(324, 117), -> [239]
(105, 258), -> [5]
(47, 83), -> [2]
(83, 290), -> [1]
(290, 105), -> [8]
(354, 298), -> [11]
(65, 116), -> [4]
(311, 103), -> [22]
(110, 259), -> [4]
(332, 116), -> [38]
(272, 260), -> [8]
(268, 287), -> [3]
(337, 256), -> [49]
(256, 107), -> [3]
(309, 116), -> [47]
(263, 287), -> [1]
(287, 333), -> [1]
(267, 99), -> [26]
(99, 97), -> [25]
(100, 291), -> [23]
(291, 121), -> [14]
(333, 103), -> [12]
(89, 258), -> [43]
(320, 335), -> [8]
(118, 111), -> [43]
(262, 115), -> [18]
(306, 104), -> [23]
(105, 279), -> [25]
(279, 260), -> [1]
(99, 353), -> [11]
(348, 119), -> [3]
(104, 266), -> [51]
(278, 119), -> [7]
(119, 97), -> [11]
(105, 285), -> [50]
(119, 266), -> [4]
(32, 106), -> [22]
(106, 117), -> [8]
(265, 309), -> [3]
(100, 280), -> [36]
(280, 100), -> [1]
(311, 98), -> [21]
(98, 309), -> [23]
(256, 121), -> [18]
(121, 116), -> [11]
(104, 295), -> [29]
(292, 91), -> [41]
(50, 49), -> [106]
(107, 290), -> [5]
(109, 295), -> [22]
(118, 269), -> [4]
(118, 290), -> [41]
(50, 50), -> [89]
(267, 279), -> [10]
(340, 287), -> [1]
(287, 285), -> [11]
(285, 295), -> [5]
(345, 97), -> [28]
(335, 104), -> [77]
(354, 342), -> [6]
(306, 263), -> [82]
(101, 260), -> [15]
(260, 260), -> [2]
(344, 351), -> [7]
(321, 336), -> [36]
(115, 117), -> [23]
(50, 52), -> [89]
(101, 347), -> [39]
(347, 118), -> [13]
(98, 109), -> [1]
(109, 335), -> [9]
(335, 116), -> [5]
(291, 111), -> [16]
(261, 97), -> [8]
(112, 289), -> [9]
(301, 121), -> [20]
(80, 265), -> [14]
(339, 105), -> [24]
(120, 105), -> [10]
(307, 107), -> [36]
(107, 265), -> [1]
(265, 97), -> [21]
(97, 111), -> [2]
(50, 53), -> [73]
(333, 106), -> [1]
(331, 111), -> [18]
(119, 101), -> [18]
(97, 353), -> [9]
(353, 101), -> [18]
(121, 262), -> [7]
(340, 266), -> [6]
(264, 111), -> [22]
(112, 116), -> [133]
(104, 259), -> [14]
(107, 295), -> [38]
(344, 121), -> [4]
(121, 115), -> [9]
(108, 102), -> [28]
