Byte pair, Frequency
(270, 121), -> [19]
(121, 325), -> [8]
(325, 99), -> [9]
(99, 264), -> [64]
(264, 99), -> [32]
(99, 278), -> [42]
(278, 266), -> [21]
(266, 102), -> [41]
(32, 98), -> [41]
(342, 97), -> [44]
(109, 256), -> [63]
(256, 275), -> [37]
(310, 116), -> [60]
(45, 103), -> [16]
(115, 325), -> [27]
(325, 305), -> [8]
(305, 117), -> [37]
(117, 260), -> [31]
(260, 319), -> [16]
(32, 351), -> [53]
(351, 274), -> [6]
(274, 108), -> [98]
(32, 298), -> [6]
(298, 109), -> [43]
(257, 114), -> [9]
(112, 342), -> [23]
(108, 121), -> [56]
(121, 259), -> [22]
(259, 282), -> [8]
(266, 104), -> [57]
(104, 348), -> [54]
(348, 100), -> [9]
(278, 292), -> [8]
(292, 109), -> [10]
(32, 118), -> [22]
(111, 262), -> [17]
(109, 262), -> [21]
(117, 284), -> [14]
(284, 32), -> [184]
(32, 348), -> [26]
(348, 70), -> [2]
(101, 58), -> [21]
(58, 32), -> [213]
(32, 354), -> [49]
(354, 76), -> [10]
(76, 264), -> [8]
(32, 80), -> [60]
(80, 264), -> [4]
(264, 258), -> [16]
(258, 83), -> [15]
(83, 310), -> [6]
(264, 262), -> [33]
(261, 41), -> [7]
(319, 65), -> [13]
(301, 58), -> [5]
(354, 83), -> [12]
(104, 291), -> [10]
(291, 266), -> [12]
(266, 70), -> [18]
(50, 49), -> [127]
(49, 41), -> [14]
(294, 79), -> [1]
(79, 110), -> [32]
(110, 256), -> [139]
(288, 119), -> [7]
(119, 291), -> [38]
(291, 108), -> [52]
(108, 100), -> [90]
(100, 344), -> [32]
(344, 98), -> [7]
(98, 310), -> [29]
(301, 325), -> [77]
(325, 109), -> [8]
(340, 105), -> [44]
(270, 115), -> [37]
(257, 277), -> [14]
(32, 346), -> [9]
(272, 261), -> [8]
(109, 343), -> [46]
(343, 105), -> [67]
(279, 320), -> [1]
(108, 258), -> [51]
(258, 348), -> [2]
(351, 261), -> [26]
(57, 257), -> [8]
(348, 98), -> [13]
(101, 290), -> [46]
(290, 32), -> [130]
(109, 268), -> [40]
(268, 71), -> [1]
(71, 108), -> [29]
(111, 98), -> [63]
(98, 292), -> [21]
(292, 281), -> [5]
(100, 325), -> [62]
(325, 316), -> [7]
(298, 115), -> [65]
(266, 323), -> [32]
(288, 89), -> [53]
(260, 267), -> [2]
(267, 320), -> [16]
