681. (98, 342 has count: 40)
682. (342, 286 has count: 16)
683. (286, 256 has count: 29)
684. (256, 338 has count: 14)
685. (259, 83 has count: 31)
686. (83, 331 has count: 80)
687. (331, 320 has count: 8)
688. (320, 108 has count: 59)
689. (101, 97 has count: 204)
690. (115, 268 has count: 62)
691. (268, 115 has count: 13)
692. (105, 120 has count: 18)
693. (120, 32 has count: 23)
694. (32, 339 has count: 27)
695. (339, 117 has count: 19)
696. (117, 100 has count: 68)
697. (105, 111 has count: 43)
698. (353, 262 has count: 36)
699. (262, 117 has count: 5)
700. (117, 110 has count: 82)
701. (110, 100 has count: 88)
702. (100, 272 has count: 22)
703. (272, 275 has count: 18)
704. (275, 108 has count: 14)
705. (108, 257 has count: 14)
706. (257, 102 has count: 16)
707. (102, 321 has count: 25)
708. (321, 260 has count: 67)
709. (260, 351 has count: 5)
710. (351, 267 has count: 2)
711. (267, 293 has count: 10)
712. (293, 32 has count: 7)
713. (352, 99 has count: 8)
714. (273, 114 has count: 7)
715. (111, 257 has count: 31)
716. (257, 339 has count: 1)
717. (339, 271 has count: 25)
718. (271, 116 has count: 91)
719. (325, 277 has count: 7)
720. (32, 345 has count: 42)
721. (40, 261 has count: 83)
722. (48, 54 has count: 17)
723. (54, 315 has count: 2)
724. (315, 72 has count: 1)
725. (272, 110 has count: 9)
726. (110, 101 has count: 80)
727. (101, 120 has count: 74)
728. (257, 70 has count: 12)
729. (271, 108 has count: 49)
730. (310, 262 has count: 54)
731. (262, 40 has count: 67)
732. (48, 56 has count: 49)
733. (56, 41 has count: 8)
734. (41, 257 has count: 15)
735. (257, 101 has count: 7)
736. (120, 112 has count: 27)
737. (112, 108 has count: 114)
738. (108, 291 has count: 28)
739. (291, 268 has count: 8)
740. (268, 99 has count: 8)
741. (112, 257 has count: 14)
742. (319, 105 has count: 8)
743. (108, 349 has count: 47)
744. (349, 34 has count: 7)
745. (34, 76 has count: 14)
746. (76, 346 has count: 34)
747. (346, 256 has count: 12)
748. (256, 83 has count: 56)
749. (83, 116 has count: 203)
750. (116, 291 has count: 44)
751. (121, 34 has count: 13)
752. (34, 32 has count: 112)
753. (319, 34 has count: 33)
